year,clubCode,clubName,state,totalPoints,legacyRank
2024,mjvbade,mjvbade,,13,
2024,mlwstbg,Milwaukee Sting,WI,80.3,
2024,mnselno,Minnesota Select,MN,54.15,
2024,msprtov,Mintonette Sports,OH,70.5,
2024,munvbho,Asics Munciana,IN,45.25,
2024,mvbacde,mvbacde,,9.45,
2024,ncvbacr,Academy - NC ,NC,45.15,
2024,neonegp,Nebraska One,NE,27.15,
2024,nkyvcpr,NKYVC,KY,53.6,
2024,nliteno,Mizuno Northern Lights,MN,58.75,
2024,norcanc,NoCal VBC,CA,13.25,
2024,norcorm,NORCO,CO,45.7,
2024,npjvbce,North Pacific Juniors,OR,36.95,
2024,ojvbcde,Ozark Jrs,AR,10.45,
2024,op2vbok,Oklahoma Peak,OK,33.1,
2024,otbvafl,OTVA,FL,78.45,
2024,parvbch,Paramount VBC,VA,13.7,
2024,pevbant,pevbant,,10.25,
2024,pghelke,pghelke,,6.2,
2024,phpvbho,Pineapple,IN,38.25,
2024,pohakha,Pohaku Volleyball Club,MO,43.75,
2024,powerha,KC POWER,KS,52.5,
2024,premrgp,Premier - NE,NE,65.1,
2024,pvakcha,PVA - MO,MO,24.05,
2024,pwrpxia,Power Plex VBC,IA,22.7,
2024,revolaz,Revolution - AZ,AZ,45.95,
2024,rootsls,rootsls,,9,
2024,rwdthgw,Rockwood Thunder,MO,57.05,
2024,sajvbls,SA Juniors,TX,10,
2024,savbcsc,Sports Academy,CA,6.1,
2024,scvbcsc,S Cal VBC -CA,CA,52.4,
2024,sealbsc,Seal Beach,CA,20.25,
2024,sgeltsc,SG ELITE,CA,47.4,
2024,sixpkia,Six Pack,IA,31,
2024,skyhigl,Sky High,IL,22.95,
2024,skylnnt,Dallas Skyline,TX,92.75,
2024,spvbcgl,Sports Performance,IL,27.45,
2024,starspm,Upward - SC,SC,21,
2024,stormaz,AZ Storm,AZ,70.05,
2024,stvacls,STVA,TX,23.2,
2024,sunshsc,Sunshine,CA,17.2,
2024,tavbcho,The Academy,IN,40.75,
2024,tavbjho,Boiler Jrs VBC,IN,22.1,
2024,tavhols,TAV Houston,TX,50.85,
2024,tlgcyls,Texas Legacy,,5.35,
2024,tmdynha,DYNASTY- KS,KS,55.3,
2024,tpfepsu,Texas Performance El Paso,TX,18.75,
2024,tribefl,Tribe - FL,FL,56.95,
2024,tristpr,Tri-State Elite,OH,71.95,
2024,trnglcr,Triangle,NC,64.25,
2024,tstrtsc,Tstreet,CA,48.05,
2024,tsvbafl,Top Select,FL,48.55,
2024,txadvnt,Texas Advantage Volleyball,TX,94.95,
2024,unionpr,UNION,KY,6,
2024,unitesc,unitesc,,8.9,
2024,vcnebgp,VCNebraska,NE,40.85,
2024,vsionnc,Vision - CA,CA,52.05,
2024,wpvcbfl,Winter Park VC,FL,36.05,
2024,wvevbsc,WAVE,CA,86.1,
2025,1unvbnt,1United,TX,64.8,30
2025,208vbev,208vbc,,6.6000000000000005,145
2025,PCSTVSC,Pacific Coast,,21,88
2025,a4volsc,A4 Volley,CA,11.8,115
2025,absolnc,Absolute,CA,47.6,51
2025,acavcov,Academy Cleveland,OH,65,29
2025,acdvpnc,Academy (NorCal),CA,12.600000000000001,111
2025,actyvsc,Actyve,CA,10.600000000000001,84
2025,adrvaia,Adrenaline,IA,28.400000000000002,85
2025,advergl,Adversity,IL,19.400000000000002,78
2025,afiveso,A5,GA,95.80000000000001,2
2025,ajvbals,Austin Juniors,TX,49,49
2025,akivapr,KIVA,KY,70.4,25
2025,alamols,Alamo,TX,43.2,55
2025,alliagl,1st Alliance,IL,78.60000000000001,12
2025,allvbso,Alliance (TN),TN,28.6,70
2025,aperfls,Austin Performance,TX,28.400000000000002,71
2025,aretent,Arete,TX,26.200000000000003,73
2025,arvcasu,Albuquerque Rebels,NM,23.8,74
2025,askylls,Austin Skyline,TX,43.400000000000006,54
2025,aspiraz,Aspire AZ,AZ,16.6,95
2025,athence,Athena VB,OR,12.4,112
2025,atomcaz,Atomic AZ,AZ,16.400000000000002,96
2025,atprvnt,,,10.8,123
2025,avatxls,AVA Texas,TX,2,173
2025,azevjaz,Arizona EVJ,AZ,0,185
2025,azskyaz,AZ Sky,AZ,68.8,26
2025,bakvcsc,,,1,178
2025,blstlgw,,,6.6000000000000005,145
2025,bosscov,BOSS Cleveland,,5.6000000000000005,151
2025,brusasc,,,9,130
2025,caruncr,Carolina UVC,NC,20.200000000000003,91
2025,ccityho,Circle City,IN,77,16
2025,chargok,OK Charge,OK,17.2,94
2025,cityvsc,City Volleyball,CA,13.600000000000001,105
2025,cjvvbcr,Carolina Juniors,NC,13,109
2025,clmntsc,,,1,178
2025,clsvbim,Club Sand,,13.200000000000001,106
2025,clubvim,Club V,UT,78.4,13
2025,cnvbcha,,,5.6000000000000005,151
2025,coastsc,Coast,CA,76.4,18
2025,cojrsrm,Colorado Jrs,CO,43,56
2025,cpavbev,,,4.800000000000001,161
2025,cvbcoov,Cleveland Volleyball Company,,11,120
2025,dakwaps,Dakine,,9.8,128
2025,dfvbclk,,,0,185
2025,drivent,Drive Nation,NA,58.400000000000006,37
2025,eagmtnt,,,0,185
2025,ecpwrke,EC Power,PA,10,125
2025,elevaov,Elevation (OH),OH,75.2,20
2025,elevbrm,,,5,158
2025,elitegp,Nebraska Elite,NE,0,185
2025,euvbaho,,,0,185
2025,evavbho,Empowered Volleyball Academy,,11.600000000000001,117
2025,evbtcov,Elite VBTC,OH,6.800000000000001,144
2025,excelnt,Excel,TX,73.2,21
2025,fcelibg,FC Elite,WI,37.2,60
2025,fgsvafl,,,3,168
2025,fieldnt,FIELDHOUSE VOLLEYBALL CLUB,,13.200000000000001,106
2025,fightha,,,9,130
2025,fleltfl,,,4.2,163
2025,fmvbcde,,,2,173
2025,forcenc,SynergyForce,CA,21,88
2025,forzasc,Forza1 South,CA,31.200000000000003,68
2025,forznsc,Forza1 North,CA,26.8,86
2025,fovbclk,FaR Out,MI,54.2,42
2025,frflynt,Frisco Flyers,TX,7.4,141
2025,frogsnt,MadFrog,TX,95.2,3
2025,frvbcrm,Front Range,,10,125
2025,gjvbcfl,Gainesville Juniors,Fl,12.200000000000001,113
2025,gpontfl,Game Point,FL,61.400000000000006,34
2025,hnlvbah,,,3.4000000000000004,167
2025,hoskyls,Houston Skyline,TX,89,9
2025,houjrls,Houston Juniors,TX,76.2,19
2025,hpstlgw,HPSTL,MO,61.800000000000004,33
2025,hsvbals,Houston Stellar,TX,11,120
2025,htidefl,,,0,185
2025,iautdia,Iowa United,,20.8,77
2025,idcrsim,Idaho Crush,ID,63.800000000000004,31
2025,ievbcgl,Illini Elite,IL,36.2,61
2025,impctia,,,0,185
2025,integnt,,,6.4,147
2025,invasha,,,0,185
2025,jaxjrfl,JJVA,FL,0.4,181
2025,jrvbcbg,,,1.6,177
2025,jtaavfl,Jupiter Volleyball Club,FL,7.6000000000000005,138
2025,k1volpu,,,0,185
2025,kairono,Kairos,SD,57,40
2025,kokrono,,,5.2,157
2025,ktvbcso,K2,TN,5,158
2025,kuikaah,Ku Ilahi VBC,HI,5,158
2025,laverls,,,0,185
2025,legacsc,,,6.4,147
2025,legvclk,Legacy,MI,96.2,1
2025,lexvbpr,,,0.4,181
2025,lightfl,,,0.4,181
2025,livwraz,,,5.6000000000000005,151
2025,mancefl,,,10.200000000000001,124
2025,mavbcha,MAVS,KS,78.2,14
2025,mavseha,MAVS 816,KS,22.6,87
2025,mdjrsch,MD Juniors,,14,102
2025,metroch,Metro,DC,57.2,39
2025,metroho,,,0,185
2025,mhypefl,Miami Hype,FL,13.8,103
2025,miavafl,,,3,168
2025,mievalk,MiElite,Mi,43.800000000000004,53
2025,milonsc,Mizuno Long Beach,CA,81.80000000000001,10
2025,mlwstbg,Milwaukee Sting,WI,58.2,38
2025,mnselno,MN Select,MN,32,67
2025,mnvbcim,,,0,185
2025,mouvinc,Mountain View,,15.600000000000001,99
2025,msprtov,Mintonette,OH,71.4,22
2025,munvbho,Munciana,IN,42.6,57
2025,mvbacde,,,7.4,141
2025,ncvbacr,NC Academy,NC,50.2,47
2025,neonegp,Nebraska ONE,NE,20.8,90
2025,nkyvcpr,NKYVC,KY,70.60000000000001,24
2025,nliteno,Northern Lights,MN,56.6,41
2025,nolavby,,,11.600000000000001,117
2025,nonamfl,NO NAME,FL,16.400000000000002,96
2025,norcanc,NorCal Volleyball Club,CA,17.400000000000002,93
2025,norcorm,NORCO,CO,16.400000000000002,83
2025,npjbece,,,8.200000000000001,136
2025,npjvbce,NPJ,OR,40.6,58
2025,ojvbcde,Oregon Juniors,AR,13,109
2025,omnivaz,Omni (AZ),,11,120
2025,omnivnc,Omni (NorCal),CA,16,98
2025,onevbaz,Club One Volleyball AZ,AZ,16.6,81
2025,op2vbok,Oklahoma Peak Performance,OK,23.200000000000003,75
2025,opremov,,,8.8,134
2025,opuvbfl,,,4.2,163
2025,otbvafl,OTVBA,FL,77.60000000000001,15
2025,parvbch,Paramount,VA,32.2,65
2025,pevbant,,,9.8,128
2025,pghelke,,,4.2,163
2025,phpvbho,Pineapple (IN),IN,33,64
2025,plscvsc,,,4.2,163
2025,pnadvnc,,,0,185
2025,pohakha,Pokahu,MO,34.800000000000004,63
2025,powerha,KC Power,KS,76.80000000000001,17
2025,powerok,Tulsa Power,OK,13.8,103
2025,premrgp,Premier Nebraska,NE,61.2,35
2025,premrnt,Dallas Premier,,15.4,100
2025,premrov,,,6.4,147
2025,pvakcha,PVA,MO,51,45
2025,pwrpxia,Iowa Powerplex,IA,4.6000000000000005,162
2025,ranchsc,,,0,185
2025,revbcho,Rev Volleyball Academy,IN,9,130
2025,revolaz,AZ Revolution,AZ,60,36
2025,rhvbcso,,,2,173
2025,rvjrsod,,,6.4,147
2025,rwdthgw,Rockwood Thunder,MO,66.8,27
2025,saforls,,,0,185
2025,sajvbls,San Antonio Jrs,TX,5.6000000000000005,151
2025,savbcsc,Sports Academy,CA,19.8,92
2025,sclegsc,,,0,185
2025,scvbcim,,,10,125
2025,scvbcsc,SCVC,CA,54.2,42
2025,sealbsc,Seal Beach,CA,7.800000000000001,137
2025,sgeltsc,SG Elite,CA,32.2,65
2025,sixpkia,Six Pack,IA,3,168
2025,sjjvbne,,,0,185
2025,skyhigl,Sky High,IL,11.200000000000001,119
2025,skylnfl,Jacksonville Skyline,FL,16.6,81
2025,skylnnt,Dallas Skyline,TX,95.2,3
2025,spserah,Spike and Serve,HI,7,143
2025,spvbcgl,Sports Performance,IL,22.8,76
2025,srfsdsc,Surfside,NA,11.8,115
2025,starspm,Stars Carolinas,SC,18,80
2025,stormaz,AZ Storm,AZ,94.80000000000001,5
2025,stvacls,STVA,TX,27,72
2025,sudnips,Sudden Impact,,12,114
2025,sunshsc,Sunshine,CA,40,59
2025,tavbcho,The Academy (IN),IN,30.200000000000003,69
2025,tavbjho,The Academy Boiler Jrs,IN,50.400000000000006,46
2025,tavhols,TAV Houston,TX,45,52
2025,tavmsho,,,5.6000000000000005,151
2025,tejasnt,Tejas,TX,7.6000000000000005,138
2025,tkvbcso,,,0,185
2025,tlgcyls,Texas Legacy,,15,101
2025,tmdynha,Dynasty,KS,80.2,11
2025,tolvcov,Toledo Volleyball Club,,13.200000000000001,106
2025,tpfepsu,Texas Performance El Paso,TX,9,130
2025,tribefl,Tribe,FL,89.2,8
2025,tristpr,Tri-State,OH,63,32
2025,trnglcr,Triangle,NC,36,62
2025,tsntsha,,,8.4,135
2025,tstiesc,,,0.8,180
2025,tstlvsc,,,0,185
2025,tstrtsc,Tstreet,CA,66.8,27
2025,tsunaso,,,0,185
2025,tsvbafl,Top Select,FL,49.6,48
2025,twskyls,,,7.6000000000000005,138
2025,txadvnt,TAV,TX,89.60000000000001,7
2025,txsvasu,,,0,185
2025,txtorls,,,2,173
2025,txunils,,,2.6,171
2025,unionpr,UNION,KY,19.400000000000002,78
2025,unitesc,,,0.4,181
2025,vacessc,Vegas Aces,NV,0,185
2025,vaquepu,,,0,185
2025,vavbcnc,,,5.6000000000000005,151
2025,vcnebgp,VC Nebraska,NE,48,50
2025,vejvbch,,,2.4000000000000004,172
2025,vsionnc,Vision (NorCal),CA,71.2,23
2025,wpvcbfl,Winter Park,FL,51.6,44
2025,wvevbsc,Wave,CA,91.80000000000001,6
